
tableName#;                  ;#operation#;                  ;#id#;                  ;#occurredAt#;                  ;#performedBy#;                  ;#fieldName#;                  ;#oldValue#;                  ;#newValue#;                  ;#companyId#;                  ;#projectId#;                  ;#description
-----------------------------------------------------------------------------------------------------------------------------------------------------------

Users#;                  ;#1#;                  ;#1097#;                  ;#7/6/2020 6:20:04 PM#;                  ;#1094#;                  ;##;                  ;##;                  ;##;                  ;#7#;                  ;##;                  ;#
Settings#;                  ;#3#;                  ;#1#;                  ;#7/9/2020 9:44:26 AM#;                  ;#1094#;                  ;##;                  ;##;                  ;##;                  ;##;                  ;##;                  ;#
Settings#;                  ;#3#;                  ;#2#;                  ;#7/9/2020 9:44:26 AM#;                  ;#1094#;                  ;##;                  ;##;                  ;##;                  ;##;                  ;##;                  ;#
Settings#;                  ;#3#;                  ;#3#;                  ;#7/9/2020 9:44:26 AM#;                  ;#1094#;                  ;##;                  ;##;                  ;##;                  ;##;                  ;##;                  ;#
Settings#;                  ;#3#;                  ;#4#;                  ;#7/9/2020 9:44:26 AM#;                  ;#1094#;                  ;##;                  ;##;                  ;##;                  ;##;                  ;##;                  ;#
Settings#;                  ;#3#;                  ;#1#;                  ;#7/9/2020 9:44:31 AM#;                  ;#1094#;                  ;##;                  ;##;                  ;##;                  ;##;                  ;##;                  ;#
Settings#;                  ;#3#;                  ;#2#;                  ;#7/9/2020 9:44:31 AM#;                  ;#1094#;                  ;##;                  ;##;                  ;##;                  ;##;                  ;##;                  ;#
Settings#;                  ;#3#;                  ;#3#;                  ;#7/9/2020 9:44:31 AM#;                  ;#1094#;                  ;##;                  ;##;                  ;##;                  ;##;                  ;##;                  ;#
Settings#;                  ;#3#;                  ;#4#;                  ;#7/9/2020 9:44:31 AM#;                  ;#1094#;                  ;##;                  ;##;                  ;##;                  ;##;                  ;##;                  ;#
Settings#;                  ;#3#;                  ;#5#;                  ;#7/9/2020 9:44:31 AM#;                  ;#1094#;                  ;##;                  ;##;                  ;##;                  ;##;                  ;##;                  ;#
Settings#;                  ;#3#;                  ;#1#;                  ;#7/9/2020 9:44:38 AM#;                  ;#1094#;                  ;##;                  ;##;                  ;##;                  ;##;                  ;##;                  ;#
Settings#;                  ;#3#;                  ;#2#;                  ;#7/9/2020 9:44:38 AM#;                  ;#1094#;                  ;##;                  ;##;                  ;##;                  ;##;                  ;##;                  ;#
Settings#;                  ;#3#;                  ;#3#;                  ;#7/9/2020 9:44:38 AM#;                  ;#1094#;                  ;##;                  ;##;                  ;##;                  ;##;                  ;##;                  ;#
Settings#;                  ;#3#;                  ;#4#;                  ;#7/9/2020 9:44:38 AM#;                  ;#1094#;                  ;##;                  ;##;                  ;##;                  ;##;                  ;##;                  ;#
Settings#;                  ;#3#;                  ;#5#;                  ;#7/9/2020 9:44:38 AM#;                  ;#1094#;                  ;##;                  ;##;                  ;##;                  ;##;                  ;##;                  ;#
